,category_id,cant_items,gmv_order_cant_items_brand,gmv_rank_2opt,gmv_rank_random
0,2053013552226107603,7,0.09415314037927541,0.1401826321324962,0.12016080020646241
1,2053013552293216471,162,79.37284326088229,122.00154336268757,85.47994585618262
2,2053013552326770905,238,926.6216929510708,982.3579222213144,857.6481318127277
3,2053013552351936731,184,267.99084035662844,510.4479926200057,345.51778753306553
4,2053013552385491165,64,6.759003292569627,13.142949357510092,11.524746676046087
5,2053013552427434207,7,2.1244604234199147,1.6015049784556137,1.4402170046026375
6,2053013552469377249,47,2.9856417686387466,38.01162505466015,23.97088431391941
7,2053013552502931683,25,0.0325961157352356,0.2607689258818848,0.2064420663231588
8,2053013552570040549,45,69.66809859043218,67.83249857135145,53.89134477565064
9,2053013552603594983,4,0.7830816058321756,0.7830816058321756,0.7830816058321756
10,2053013552637149417,42,0.6137096512431559,0.9924070803719293,0.5962951521603629
11,2053013552662315243,72,11.176246426536181,20.117896945889207,12.482332214289649
12,2053013552695869677,28,40.05214455303204,123.96529703931763,38.40408351454107
13,2053013552737812719,67,14.31315085330891,19.8837366350367,16.585419079581747
14,2053013552788144369,128,10.336774102546075,17.02997468482729,11.019755408776701
15,2053013552821698803,108,10.506111450498729,13.773979921839853,12.056807111171702
16,2053013552863641845,106,136.42274867877728,140.09838930783638,90.42118760336601
17,2053013552888807671,255,224.49355291129075,213.37613860639897,200.26237881704904
18,2053013552913973497,152,45.65118808188787,62.68901693298784,46.93434332669759
19,2053013552955916539,62,12.971572362325643,51.57356906179245,23.848506378072173
20,2053013552989470973,85,21.807850021161613,27.286210653479543,20.264723965157717
21,2053013553031414015,266,1067.9512692997719,1351.116503777629,934.9206571393812
22,2053013553056579841,70,97.88264737612111,211.10553418361008,91.07802244926427
23,2053013553090134275,226,22.989749001699213,22.943135013059432,21.502795075737193
24,2053013553115300101,122,0.0099425517542336,0.3007621905655664,0.0820260519724272
25,2053013553165631753,239,26.2227970122601,43.5637209339506,40.82212669067622
26,2053013553199186187,250,2.5287459244425565,8.284545958257391,6.909322400801791
27,2053013553224352013,113,1.3639089802249067,4.613244257813055,2.8743298833251556
28,2053013553257906447,48,8.873080873730604,10.527800790053956,9.003171780594297
29,2053013553283072273,89,0.7013532234785583,1.1263088798653729,0.6652894051600474
30,2053013553316626707,31,2.3678712551603285,7.994021336792105,3.8904300447652624
31,2053013553341792533,390,7029.603749777798,10901.924763956233,10204.287474639425
32,2053013553375346967,48,33.79850192255766,35.00191850376083,17.771540661970025
33,2053013553484398879,491,39.421402404133836,103.2142957249929,57.956950197144735
34,2053013553945772349,121,0.34043630007856585,0.7171831065204232,0.63962360858886
35,2053013553970938175,103,9.385660466262708,10.884219677622578,7.802992243874109
36,2053013554004492609,77,0.1373216819583792,0.2477900783541968,0.031706439907231
37,2053013554071601477,132,3.586466812750232,4.9644270221542275,2.935834138153193
38,2053013554096767303,83,10.529847223422198,8.862323909644903,5.75177385075069
39,2053013554121933129,69,2.0504064907959823,2.7759790559890556,2.269760189843024
40,2053013554155487563,182,11.347464793737496,13.817014324307358,7.5521677145793555
41,2053013554189041997,127,7.634814413306773,7.223487535097748,5.424611520649888
42,2053013554222596431,231,508.7401678325514,474.66011498441117,386.95960350908274
43,2053013554247762257,148,90.47051706861038,178.66793829488523,113.82884449865176
44,2053013554415534427,232,5399.394293137904,5249.066127853918,4860.509116139852
45,2053013554449088861,2,0.0226978457417122,0.0226978457417122,0.0226978457417122
46,2053013554474254687,60,3.157346948085254,6.414857293279497,1.6335673272174367
47,2053013554499420513,20,3.2107431208396187,3.6030915137037254,3.2750106269157504
48,2053013554524586339,24,22.07356595129372,20.243292471298414,18.173748413903358
49,2053013554566529381,65,10.908974464640266,52.422626748277246,9.506708832231613
50,2053013554591695207,45,0.0294142308726216,0.32355653959883757,0.0220606731544662
51,2053013554625249641,132,138.69665986242322,120.34873957669072,101.15620661474783
52,2053013554692358509,12,0.0115810934199285,0.0273811838521099,0.0235010156655637
53,2053013554725912943,14,0.2063394950887686,0.2451946478122152,0.2102826799447476
54,2053013554751078769,20,2.825146987938922,4.58606960782795,3.135767297065971
55,2053013554776244595,111,171.71465865697593,171.67387612121163,115.60229645131906
56,2053013554834964853,196,119.68169804396523,151.01728469869352,132.05800663877272
57,2053013554960793975,36,1.5773757431786137,2.8005991148029934,2.328565400105436
58,2053013554994348409,58,3.184721308650108,2.926698457714641,0.7807573715497019
59,2053013555036291451,48,0.2615074424578797,0.4918333775584574,0.2827346088300752
60,2053013555069845885,44,6.64435269210651,8.863625198704801,8.231354675057329
